kotodama-i18n-v1	76	15
language	no_functions	unsupported_binary_op	unknown_param	read_file	parser_error	semantic_error	lint_unused_state	lint_state_shadowed_param	lint_state_shadowed_binding	lint_state_shadowed_map_binding	lint_unused_parameter	lint_unreachable_after_return	lint_ok	lint_usage	lint_usage_help
Russian	Нет функций для компиляции	Kotodama compiler hint: {op}	Неизвестный параметр {name}	Не удалось прочитать файл {path}: {error}	Ошибка парсера: {error}	Семантическая ошибка: {error}	Состояние `{name}` объявлено, но никогда не используется	Параметр `{name}` в функции `{func}` скрывает состояние `{name}`; переименуйте параметр, чтобы получить доступ к состоянию	Связывание `{name}` в функции `{func}` скрывает состояние `{name}`; переименуйте связывание, чтобы сохранить доступ к состоянию	Связывание `{name}` в функции `{func}` скрывает состояние `{name}` при переборе карты	Параметр `{name}` в функции `{func}` нигде не используется	Обнаружено недостижимое выражение в {context}: код после return никогда не выполняется	ок	Использование: koto check <file.ko> [<file2.ko> ...]	Запускает проверки Kotodama для указанных исходников.
Burmese	ကွန်ပိုင်လုပ်ရန် ဖန်ရှင် မရှိပါ။	Kotodama compiler hint: {op}	မသိသော ပါရာမီတာ {name}	ဖိုင် {path} ကို ဖတ်ရန် မအောင်မြင်ပါ: {error}	Parser အမှား: {error}	အဓိပ္ပါယ်ဆိုင်ရာ အမှား: {error}	state `{name}` ကို ကြေညာခဲ့သော်လည်း အသုံးမပြုပါ	ဖန်ရှင် `{func}` တွင် ပါရာမီတာ `{name}` သည် state `{name}` ကို ဝှက်ထားသည်။ state ကို အသုံးပြုနိုင်ရန် ပါရာမီတာအမည်ကို ပြင်ပါ	ဖန်ရှင် `{func}` တွင် binding `{name}` သည် state `{name}` ကို ဝှက်ထားသည်။ state ကို ဆက်လက်အသုံးပြုနိုင်ရန် binding အမည်ကို ပြင်ပါ	ဖန်ရှင် `{func}` တွင် map ကို လှည့်ကွက်ရာတွင် binding `{name}` သည် state `{name}` ကို ဝှက်ထားသည်	ဖန်ရှင် `{func}` တွင် ပါရာမီတာ `{name}` ကို အသုံးမပြုပါ	{context} တွင် မရောက်နိုင်သော ကြေညာချက် ရှိသည်ဟုတွေ့တယ်៖ return ပို့ပြီးနောက်ရှိ ကုဒ်ကို မစမ်းကြည့်ပါ	အောင်မြင်	အသုံးပြုပုံ: koto check <file.ko> [<file2.ko> ...]	ပေးထားသော ရင်းမြစ်များအပေါ် Kotodama lint စစ်ဆေးမှုများကို ပြေးဆင်ပါ။
Hindi	संकलित करने के लिए कोई कार्य नहीं	Kotodama compiler hint: {op}	अज्ञात पैराम {name}	पढ़ने में विफल {path}: {error}	पार्सर त्रुटि: {error}	सैमांटिक त्रुटि: {error}	स्टेट `{name}` की घोषणा की गई है लेकिन कभी उपयोग नहीं हुआ	फ़ंक्शन `{func}` का पैरामीटर `{name}` स्टेट `{name}` को छिपा देता है; स्टेट तक पहुँचने के लिए पैरामीटर का नाम बदलें	फ़ंक्शन `{func}` में बाइंडिंग `{name}` स्टेट `{name}` को छिपा देती है; स्टेट तक पहुँच बनाए रखने के लिए बाइंडिंग का नाम बदलें	मैप को दोहराते समय फ़ंक्शन `{func}` में बाइंडिंग `{name}` स्टेट `{name}` को छिपा देती है	फ़ंक्शन `{func}` का पैरामीटर `{name}` कभी उपयोग नहीं होता	{context} में अप्राप्य कथन मिला: return के बाद का कोड कभी निष्पादित नहीं होता	ठीक	उपयोग: koto check <file.ko> [<file2.ko> ...]	दिए गए स्रोतों पर Kotodama लिंट चलाता है।
Urdu	ترتیب کے لیے کوئی فنکشن موجود نہیں	Kotodama compiler hint: {op}	نامعلوم پیرامیٹر {name}	فائل {path} پڑھنے میں ناکامی: {error}	پارسر کی خرابی: {error}	معنوی خرابی: {error}	اسٹیٹ `{name}` کا اعلان کیا گیا لیکن کبھی استعمال نہیں ہوا	فنکشن `{func}` میں پیرامیٹر `{name}` اسٹیٹ `{name}` کو چھپا دیتا ہے؛ اسٹیٹ تک رسائی کے لیے پیرامیٹر کا نام تبدیل کریں	فنکشن `{func}` میں ربط `{name}` اسٹیٹ `{name}` کو چھپا دیتا ہے؛ رسائی برقرار رکھنے کے لیے ربط کا نام تبدیل کریں	فنکشن `{func}` میں نقشہ پر تکرار کرتے وقت ربط `{name}` اسٹیٹ `{name}` کو چھپا دیتا ہے	فنکشن `{func}` میں پیرامیٹر `{name}` کبھی استعمال نہیں ہوتا	{context} میں ناقابلِ رسائی بیان ملا: return کے بعد کا کوڈ کبھی نہیں چلتا	ٹھیک	استعمال: koto check <file.ko> [<file2.ko> ...]	مہیا کردہ سورس پر Kotodama کے lint چلائیں۔
Sinhala	සම්පාදනයට ක්‍රියාකාරකම් කිසිවක් නොමැත	Kotodama compiler hint: {op}	හඳුනා නොගත් පරාමිතිය {name}	{path} කියවීමට නොහැකි විය: {error}	විග්‍රහ දෝෂය: {error}	අර්ථ දෝෂය: {error}	`{name}` තත්වය ප්‍රකාශිත නමුත් කිසිවිටෙක භාවිතා නොවේ	`{func}` ක්‍රියාවලියේ `{name}` පරාමිතිය `{name}` තත්වය සගවයි; තත්වය වෙත ප්‍රවේශ වීමට පරාමිතියේ නම වෙනස් කරන්න	`{func}` ක්‍රියාවලියේ `{name}` බැඳීම `{name}` තත්වය සගවයි; ප්‍රවේශය පවත්වා ගැනීමට බැඳීමේ නම වෙනස් කරන්න	`{func}` ක්‍රියාවලියේ map එක මඟින් චක්‍රය කරන විට `{name}` බැඳීම `{name}` තත්වය සගවයි	`{func}` ක්‍රියාවලියේ `{name}` පරාමිතිය කිසිදා භාවිතා නොකරයි	{context} තුළ නොහැකි ප්‍රකාශයක් අනාවරණය විය: return පසු ඇති කේතය කිසිදා ක්‍රියාත්මක නොවේ	හරි	භාවිතය: koto check <file.ko> [<file2.ko> ...]	සපයා ඇති මූලාශ්‍ර මත Kotodama lint පරීක්ෂණ ක්‍රියාත්මක කරයි.
Tamil	தொகுக்க செயல்பாடுகள் எதுவும் இல்லை	Kotodama compiler hint: {op}	அறியப்படாத அளவுரு {name}	{path} ஐ படிக்க முடியவில்லை: {error}	பகுப்பாய்வி பிழை: {error}	அர்த்த பிழை: {error}	`{name}` நிலையைக் கூறியுள்ளீர்கள் ஆனால் அது ஒருபோதும் பயன்படுத்தப்படவில்லை	`{func}` செயல்பாட்டில் உள்ள `{name}` அளவுரு `{name}` நிலையை மறைக்கிறது; நிலையை அணுக அளவுரின் பெயரை மாற்றவும்	`{func}` செயல்பாட்டில் உள்ள `{name}` பைண்டிங் `{name}` நிலையை மறைக்கிறது; அணுகலைப் பாதுகாக்க பைண்டிங் பெயரை மாற்றவும்	`{func}` செயல்பாட்டில் வரைபடத்தைச் சுழற்றும் போது `{name}` பைண்டிங் `{name}` நிலையை மறைக்கிறது	`{func}` செயல்பாட்டில் `{name}` அளவுரு ஒருபோதும் பயன்படுத்தப்படவில்லை	{context} இல் அணுக முடியாத கூற்று கண்டறியப்பட்டது: return க்கு பின் உள்ள குறியீடு ஒருபோதும் இயக்கப்படாது	சரி	பயன்பாடு: koto check <file.ko> [<file2.ko> ...]	வழங்கப்பட்ட மூலங்களின் மீது Kotodama lint சோதனைகளை இயக்குகிறது.
French	Aucune fonction à compiler	Kotodama compiler hint: {op}	Param inconnu {name}	Échec de la lecture de {path} : {error}	Erreur de l'analyseur : {error}	Erreur sémantique : {error}	L'état `{name}` est déclaré mais n'est jamais utilisé	Le paramètre `{name}` de la fonction `{func}` masque l'état `{name}` ; renommez le paramètre pour accéder à l'état	La liaison `{name}` dans la fonction `{func}` masque l'état `{name}` ; renommez la liaison pour conserver l'accès à l'état	La liaison `{name}` dans la fonction `{func}` masque l'état `{name}` pendant l'itération de la map	Le paramètre `{name}` de la fonction `{func}` n'est jamais utilisé	Instruction inatteignable détectée dans {context} : le code après un return n'est jamais exécuté	ok	Utilisation : koto check <file.ko> [<file2.ko> ...]	Exécute les lints Kotodama sur les sources fournies.
Ukrainian	Немає функцій для компіляції	Kotodama compiler hint: {op}	Невідомий параметр {name}	Не вдалося прочитати файл {path}: {error}	Помилка парсера: {error}	Семантична помилка: {error}	Стан `{name}` оголошений, але жодного разу не використовується	Параметр `{name}` у функції `{func}` приховує стан `{name}`; перейменуйте параметр, щоб отримати доступ до стану	Зв'язування `{name}` у функції `{func}` приховує стан `{name}`; перейменуйте зв'язування, щоб зберегти доступ	Зв'язування `{name}` у функції `{func}` приховує стан `{name}` під час ітерації карти	Параметр `{name}` у функції `{func}` ніде не використовується	Виявлено недосяжний оператор у {context}: код після return ніколи не виконується	ок	Використання: koto check <file.ko> [<file2.ko> ...]	Запускає lint-перевірки Kotodama для наданих вихідних файлів.
Polish	Brak funkcji do kompilacji	Kotodama compiler hint: {op}	Nieznany parametr {name}	Nie udało się odczytać pliku {path}: {error}	Błąd parsera: {error}	Błąd semantyczny: {error}	Stan `{name}` został zadeklarowany, ale nigdy nie jest używany	Parametr `{name}` w funkcji `{func}` ukrywa stan `{name}`; zmień nazwę parametru, aby uzyskać dostęp do stanu	Powiązanie `{name}` w funkcji `{func}` ukrywa stan `{name}`; zmień nazwę powiązania, aby zachować dostęp	Powiązanie `{name}` w funkcji `{func}` ukrywa stan `{name}` podczas iteracji mapy	Parametr `{name}` w funkcji `{func}` nie jest nigdzie używany	Wykryto nieosiągalne polecenie w {context}: kod po return nigdy się nie wykonuje	OK	Użycie: koto check <file.ko> [<file2.ko> ...]	Uruchamia lintery Kotodama dla podanych plików źródłowych.
Swedish	Inga funktioner att kompilera	Kotodama compiler hint: {op}	Okänd parameter {name}	Misslyckades med att läsa filen {path}: {error}	Parserfel: {error}	Semantiskt fel: {error}	State `{name}` är deklarerat men används aldrig	Parametern `{name}` i funktionen `{func}` skymmer state `{name}`; byt namn på parametern för att komma åt state	Bindningen `{name}` i funktionen `{func}` skymmer state `{name}`; byt namn på bindningen för att behålla åtkomsten	Bindningen `{name}` i funktionen `{func}` skymmer state `{name}` under map-iteration	Parametern `{name}` i funktionen `{func}` används aldrig	Oåtkomligt uttryck upptäcktes i {context}: kod efter return körs aldrig	ok	Användning: koto check <file.ko> [<file2.ko> ...]	Kör Kotodamas lint-kontroller på angivna källor.
German	Keine Funktionen zu kompilieren	Kotodama compiler hint: {op}	Unbekannter Parameter {name}	Datei {path} konnte nicht gelesen werden: {error}	Parser-Fehler: {error}	Semantischer Fehler: {error}	State `{name}` ist deklariert, wird aber nie verwendet	Der Parameter `{name}` in Funktion `{func}` überdeckt den State `{name}`; benenne den Parameter um, um auf den State zuzugreifen	Die Bindung `{name}` in Funktion `{func}` überdeckt den State `{name}`; benenne die Bindung um, damit der State erreichbar bleibt	Die Bindung `{name}` in Funktion `{func}` überdeckt den State `{name}` während der Map-Iteration	Der Parameter `{name}` in Funktion `{func}` wird niemals verwendet	Nicht erreichbare Anweisung in {context} erkannt: Code nach einem return wird nie ausgeführt	ok	Verwendung: koto check <file.ko> [<file2.ko> ...]	Führt die Kotodama-Lints für die angegebenen Quellen aus.
Greek	Δεν υπάρχουν συναρτήσεις για μεταγλώττιση	Kotodama compiler hint: {op}	Άγνωστη παράμετρος {name}	Αποτυχία στην ανάγνωση του αρχείου {path}: {error}	Σφάλμα αναλυτή: {error}	Σημασιολογικό σφάλμα: {error}	Η κατάσταση `{name}` δηλώθηκε αλλά δεν χρησιμοποιείται ποτέ	Η παράμετρος `{name}` στη συνάρτηση `{func}` καλύπτει την κατάσταση `{name}`· μετονομάστε την παράμετρο για πρόσβαση στην κατάσταση	Η δέσμευση `{name}` στη συνάρτηση `{func}` καλύπτει την κατάσταση `{name}`· μετονομάστε τη δέσμευση για να διατηρήσετε την πρόσβαση	Η δέσμευση `{name}` στη συνάρτηση `{func}` καλύπτει την κατάσταση `{name}` κατά την επανάληψη του map	Η παράμετρος `{name}` στη συνάρτηση `{func}` δεν χρησιμοποιείται ποτέ	Εντοπίστηκε μη προσπελάσιμη εντολή στο {context}: ο κώδικας μετά το return δεν εκτελείται ποτέ	εντάξει	Χρήση: koto check <file.ko> [<file2.ko> ...]	Εκτελεί τους ελέγχους lint του Kotodama στα δοσμένα αρχεία πηγής.
Italian	Nessuna funzione da compilare	Kotodama compiler hint: {op}	Parametro sconosciuto {name}	Impossibile leggere il file {path}: {error}	Errore del parser: {error}	Errore semantico: {error}	Lo stato `{name}` è dichiarato ma non viene mai usato	Il parametro `{name}` nella funzione `{func}` oscura lo stato `{name}`; rinomina il parametro per accedere allo stato	Il binding `{name}` nella funzione `{func}` oscura lo stato `{name}`; rinomina il binding per mantenere l'accesso allo stato	Il binding `{name}` nella funzione `{func}` oscura lo stato `{name}` durante l'iterazione della mappa	Il parametro `{name}` nella funzione `{func}` non viene mai usato	Istruzione irraggiungibile rilevata in {context}: il codice dopo un return non viene mai eseguito	ok	Uso: koto check <file.ko> [<file2.ko> ...]	Esegue i lint di Kotodama sulle sorgenti fornite.
Kazakh	Компиляция жасайтын функция жоқ	Kotodama compiler hint: {op}	Белгісіз параметр {name}	{path} файлын оқу сәтсіз аяқталды: {error}	Парсер қатесі: {error}	Семантикалық қате: {error}	`{name}` күйі жарияланған, бірақ ешқашан қолданылмайды	`{func}` функциясындағы `{name}` параметрі `{name}` күйін көлегейлейді; күйге қол жеткізу үшін параметрдің атын өзгертіңіз	`{func}` функциясындағы `{name}` байланысы `{name}` күйін көлегейлейді; қол жетімділікті сақтау үшін байланыстың атын өзгертіңіз	`{func}` функциясында карта бойынша өту кезінде `{name}` байланысы `{name}` күйін көлегейлейді	`{func}` функциясындағы `{name}` параметрі қолданылмайды	{context} ішінде жетуге болмайтын оператор анықталды: return-нен кейінгі код ешқашан орындалмайды	ок	Қолданылуы: koto check <file.ko> [<file2.ko> ...]	Берілген бастапқы файлдарда Kotodama lint тексерістерін іске қосады.
Mongolian	Компиляцлах функц алга	Kotodama compiler hint: {op}	Тодорхойгүй параметр {name}	{path} файлыг уншиж чадсангүй: {error}	Парсерын алдаа: {error}	Семантик алдаа: {error}	`{name}` төлөв зарлагдсан боловч хэзээ ч ашиглагдахгүй байна	`{func}` функц доторх `{name}` параметр нь `{name}` төлөвийг халхалж байна; төлөвт хандахын тулд параметрийн нэрийг өөрчилнө үү	`{func}` функц доторх `{name}` холбоос нь `{name}` төлөвийг халхалж байна; хандалтыг хадгалахын тулд холбоосын нэрийг өөрчилнө үү	`{func}` функц map-ийг давтах үед `{name}` холбоос нь `{name}` төлөвийг халхалж байна	`{func}` функц дотор `{name}` параметр огт ашиглагддаггүй	{context} хэсэгт хүрэх боломжгүй мэдэгдлийг илрүүллээ: return-ийн дараах код хэзээ ч ажиллахгүй	зөв	Ашиглах арга: koto check <file.ko> [<file2.ko> ...]	Өгөгдсөн эх сурвалж дээр Kotodama-ийн lint шалгалтуудыг ажиллуулна.
Javanese	Ora ana fungsi kanggo dikompilasi	Kotodama compiler hint: {op}	Paramèter ora dikenal {name}	Gagal maca berkas {path}: {error}	Kesalahan parser: {error}	Kesalahan semantik: {error}	state `{name}` wis diumumaké nanging ora tau digunakaké	paramèter `{name}` ing fungsi `{func}` ndhelikaké state `{name}`; ganti jeneng paramèter supaya bisa ngakses state	ikat `{name}` ing fungsi `{func}` ndhelikaké state `{name}`; ganti jeneng ikatan supaya akses tetep ana	ikat `{name}` ing fungsi `{func}` ndhelikaké state `{name}` nalika iterasi map	paramèter `{name}` ing fungsi `{func}` ora tau dienggo	pernyataan ora bisa digayuh ditemokaké ing {context}: kode sawisé return ora bakal mlaku	berhasil	Panggunaan: koto check <file.ko> [<file2.ko> ...]	Mbukak lint Kotodama marang sumber sing diwènèhaké.
Madurese	Tak enngih fungsi reng ateh takokah	Kotodama compiler hint: {op}	Paramater tak dikenal {name}	Tak bisa maosa berkas {path}: {error}	Kasalahan parser: {error}	Kasalahan semantik: {error}	Kaadaan `{name}` sampun deddhi tapi tak kaanggo sape	Parameter `{name}` dalam fungsi `{func}` ngallempeng kaadaan `{name}`; ganti jenengan parameter ben bisa nyepeng kaadaan	Ikatan `{name}` dalam fungsi `{func}` ngallempeng kaadaan `{name}`; ganti jenengan ikatan ben aksès kaadaan tetep ana	Nalika fungsi `{func}` ngalantur map, ikatan `{name}` ngallempeng kaadaan `{name}`	Parameter `{name}` dalam fungsi `{func}` tak kaanggo sape	Instruksi neng {context} tak bisa kasampurna; kode sawisé return tak bakal mlaku	beres	Pangangguy: koto check <file.ko> [<file2.ko> ...]	Lakokno Kotodama lint marang berkas se sampèyan pasraaghi.
Balinese	Nénten wénten fungsi sane dados dikompilasi	Kotodama compiler hint: {op}	Parémetro nénten karahosang {name}	Gagal maos berkas {path}: {error}	Kasalahan parser: {error}	Kasalahan semantik: {error}	Kaadan `{name}` sampun kaserat nanging tan dados kaanggén	Parameter `{name}` ring fungsi `{func}` ngamantenin kaadan `{name}`; gantiangang nami parameter mangda kaadan prasida kasengguh	Binding `{name}` ring fungsi `{func}` ngamantenin kaadan `{name}`; gantiangang nami binding mangda aksés kaadan tetep kabuka	Nalika fungsi `{func}` ngamolihang map, binding `{name}` ngamantenin kaadan `{name}`	Parameter `{name}` ring fungsi `{func}` tan dados kaanggén wenten pisan	Wangsalan tan kasapuk kapanggih ring {context}; kode sasampun return tan kalaksanayang	becik	Panganggé: koto check <file.ko> [<file2.ko> ...]	Laksanayang Kotodama lint ring sumber sane kapidabdabang.
Minangkabau	Indak ado fungsi nan dikompilasi	Kotodama compiler hint: {op}	Parameter indak dikenal {name}	Gagal mambaco berkas {path}: {error}	Kesalahan parser: {error}	Kesalahan semantik: {error}	Kaadaan `{name}` lah diisiahkan tapi indak dipakai	Parameter `{name}` dalam fungsi `{func}` manutub kaadaan `{name}`; ganti namo parameter supaya kaadaan bisa dicapai	Binding `{name}` dalam fungsi `{func}` manutub kaadaan `{name}`; ganti namo binding untuak manyaga akses kaadaan	Saat fungsi `{func}` malewangkan map, binding `{name}` manutub kaadaan `{name}`	Parameter `{name}` dalam fungsi `{func}` indak dipakai samo sakali	Pernyataan nan ndak bisa dicapai kapanggih dalam {context}; kode salapeh return indak bakal jalan	baik	Panggunaan: koto check <file.ko> [<file2.ko> ...]	Jalanan Kotodama lint ka sumber nan disadiokan.
