kotodama-diagnostic-explanations-v1	235
code	phase	summary	help
K3006	Lowering	optimized SSA could not be converted back into validated lowering IR	Report this compiler defect with a minimal source reproducer; no bytecode is emitted from an invalid optimized program.
K3099	Lowering	bytecode generation or assembly failed	Report the diagnostic with a minimal source reproducer; valid V1 programs must assemble deterministically.
K4001	Artifact	compiler-owned artifact preparation failed	Report a compiler defect; source cannot override ABI or execution-header policy.
K4002	Artifact	manifest or deployable artifact construction failed	Report a compiler defect and do not deploy a partial output.
K4003	Artifact	a reusable module was requested as a deployable artifact	Link the module into exactly one seiyaku root and build that seiyaku.
K5001	Semantic	durable state is declared but never used	Remove the declaration or read/write it from a reachable function.
K5002	Semantic	a declaration shadows durable state	Rename the declaration; strict V1 source should keep every binding unambiguous.
K5003	Semantic	a function parameter is never used	Remove the parameter or use it in the function body.
K5004	Semantic	a statement is unreachable after return	Delete the unreachable statement or move it before the terminating return.
K5005	Semantic	a pointer literal duplicates another literal	Reuse one typed value instead of embedding duplicate pointer payloads.
K5006	Semantic	a constructed pointer value is never used	Remove the constructor call or consume its typed result.
K5007	Semantic	a trigger specification is not statically transparent	Use a canonical literal trigger specification so admission can derive its behavior.
K5008	Semantic	a state path is dynamic without complete access metadata	Use a canonical StateMap operation or a literal state path when scheduler precision matters.
K5009	Semantic	an opaque operation prevents precise access derivation	Prefer typed namespaced operations with derivable access; otherwise execution is serialized conservatively.
K5099	Semantic	a linter finding lacked a dedicated unified diagnostic code	Report the finding so it can receive a stable K5000-series code and remediation.
E_PACKAGE_BUDGET	Parse	a typed-module package graph exceeds a fixed V1 frontend budget	Reduce the package source count or aggregate source bytes before linking.
E_ROOT_MUST_BE_SEIYAKU	Resolve	the deployable package root is not a seiyaku/誓約 source unit	Declare exactly one seiyaku/誓約 in the root and keep reusable dependencies as modules.
E_DEPENDENCY_MUST_BE_MODULE	Resolve	a reusable dependency is not a module source unit	Change the dependency to exactly one module declaration; only the package root may be deployable.
E_DUPLICATE_PACKAGE	Resolve	the locked graph contains the same package identity more than once	Keep one canonical record for each package identity in the locked dependency graph.
E_EMPTY_PACKAGE	Resolve	a locked package contains no Kotodama modules	Add at least one module source or remove the empty package from the locked graph.
E_DUPLICATE_MODULE	Resolve	one package declares the same module name more than once	Give every module in the package a unique canonical name.
E_DUPLICATE_IMPORT	Resolve	an import alias is repeated in one scope	Keep one explicit package binding for each import alias.
E_RESERVED_IMPORT	Resolve	an import alias collides with a compiler-owned capability namespace	Choose a non-reserved explicit alias for the imported package.
E_UNKNOWN_PACKAGE	Resolve	an import names a package absent from the locked graph	Add the exact package identity to the lock graph or correct the import.
E_PACKAGE_IMPORT_CYCLE	Resolve	locked package imports form a dependency cycle	Break the cycle and keep the typed-module package graph acyclic.
E_UNKNOWN_IMPORT_ALIAS	Resolve	a qualified call uses an alias not imported by its source package	Add one explicit import binding for the alias or correct the qualified call.
E_MULTIPLE_SEIYAKU_ROOTS	Resolve	one diagnostics request contains more than one deployable seiyaku root	Keep one project root; check unrelated seiyaku roots in separate requests.
E_PROJECT_MANIFEST_REQUIRED	Resolve	positional source paths cannot grant module linking authority	Pass --project with a versioned manifest that declares exact imports, locked packages, modules, and exports.
E_PROJECT_MANIFEST	Resolve	an explicit Kotodama project manifest is malformed or unsafe	Use version 1 canonical Norito JSON with relative in-project source paths and complete explicit graph fields.
E_UNEXPORTED_SYMBOL	Resolve	a qualified call targets a function absent from the package export table	Export the exact function from one module or call a declared exported symbol.
E_MISSING_EXPORT	Resolve	a package export names no module function	Define the exported function in exactly one module or remove the stale export.
E_AMBIGUOUS_EXPORT	Resolve	multiple modules define the same declared package export	Keep exactly one module definition for each exported function.
E_WILDCARD_IMPORT	Resolve	a module graph requests a wildcard import	Replace the wildcard with explicit package aliases and exported function names.
E_INVALID_IDENTIFIER	Resolve	a package, module, alias, or symbol name is not a strict V1 identifier	Use a valid unambiguous Kotodama V1 identifier in the reported graph location.
E_INVALID_MODULE_ITEM	Resolve	a reusable module contains a deployable-only declaration	Move state, triggers, `kotoage`/`言挙げ`, `view fn`, `hajimari`/`始まり`, or `kaizen`/`改善` declarations into the seiyaku root.
E_DUPLICATE_ERROR_CODE	Resolve	linked modules assign the same stable seiyaku error code more than once	Assign a unique stable numeric code to every linked error variant.
E_DUPLICATE_MESSAGE	Resolve	linked modules define the same localization message key more than once	Keep one canonical message for each localization key in the linked graph.
E_INVALID_SOURCE_PATH	Resolve	a logical module source path is non-canonical or escapes its package	Use a normalized relative logical path contained by the package source root.
E_DUPLICATE_SOURCE	Resolve	a package graph contains duplicate normalized logical source paths	Remove the duplicate or give each source a unique normalized logical path.
E_EMPTY_PACKAGE_GRAPH	Resolve	typed linking produced no root or reusable module program	Provide one seiyaku root and every explicitly imported non-empty module package.
E_DUPLICATE_HIR_ID	Resolve	linked typed modules reused a compiler-owned HIR identity	Report this compiler defect with the complete source graph; source cannot assign HIR identities.
E_DUPLICATE_SOURCE_ID	Resolve	different logical sources received the same compiler-owned source identity	Report this compiler defect with the complete normalized source graph.
E_TEST_TARGET_MISMATCH	Resolve	a standalone test module resolves to a different target source	Correct koto_test.target so its normalized path names the graph's exact seiyaku target.
E_LOCAL_SHADOWING	Resolve	a local binding duplicates or shadows another visible symbol	Rename the binding so every local and source-unit declaration remains unambiguous.
E_ACCESS_INCOMPLETE	Semantic	the compiler could not prove a complete access set	The runtime must serialize conservatively; remove dynamic or opaque access if parallel execution is required.
E_UNBOUNDED_LOOP	Semantic	a loop bound is not compiler-proven	Use a static range or a collection operation whose 64-item cap is proven by the compiler.
E_UNBOUNDED_ITERATION	Semantic	collection iteration is not compiler-proven bounded	Use a canonical bounded StateMap traversal with at most 64 items.
E_INT_OVERFLOW	Semantic	checked integer arithmetic overflowed	Change the inputs or use an explicit wrapping operation when modular arithmetic is intentional.
E_INT_LITERAL_OVERFLOW	Parse	an integer literal is outside the signed 512-bit domain	Use a value from -2^511 through 2^511 - 1.
E_RETIRED_NUMERIC_SUFFIX	Lex	a numeric literal uses a retired suffix	Use an unsuffixed literal in an explicit int, decimal, or quantity context; Kotodama V1 has no numeric literal suffixes.
E_RETIRED_NUMERIC_HELPER	Parse	source calls a retired width-specific or generic numeric helper	Use exact operators, named int/decimal/quantity conversions, or native `json { ... }` construction.
E_RETIRED_TRIGGER_ALIAS	Parse	source calls a non-canonical trigger lifecycle operation	Use ledger::trigger::register or ledger::trigger::unregister; the diagnostic provides an exact replacement.
E_DECIMAL_MALFORMED	Lex	an exact decimal literal has invalid spelling	Use base-10 digits, at most one decimal point, an optional decimal exponent, and underscores only between digits.
E_DECIMAL_EXPONENT	Lex	an exact decimal exponent has invalid spelling	Write at least one base-10 digit after `e` or `E`; a leading exponent sign is allowed.
E_RETIRED_NUMERIC_TYPE	Parse	a declaration uses a retired numeric type name	Use `int`, `decimal`, or the nominal non-negative `quantity` type.
E_FORBIDDEN_SOURCE_IDENTIFIER	Parse	source uses an identifier spelling forbidden in every Kotodama V1 context	Choose a domain-specific identifier; lowercase `amount` remains an ordinary business identifier.
E_RETIRED_DECLARATION_ORDER	Parse	a typed declaration uses the retired name-colon-type order	Place the type before the name, for example `const int limit`, `state int value`, `let int count`, or `fn add(int lhs)`.
E_NEGATIVE_QUANTITY	Semantic	a value converted to quantity is negative	Use decimal when the value may be negative, or prove the value non-negative before an explicit quantity conversion.
E_QUORUM_RANGE	Semantic	an account quorum is outside the protocol's nonzero 16-bit domain	Use an int from 1 through 65535. This is a protocol-field bound, not the range of Kotodama int.
E_DECIMAL_SCALE_OVERFLOW	Semantic	an exact decimal value exceeds the 28-digit canonical scale limit	Reduce the significant fractional precision to at most 28 digits. Trailing fractional zeros are canonicalized away before this limit is checked.
E_DECIMAL_MANTISSA_OVERFLOW	Semantic	an exact decimal value exceeds the signed 512-bit mantissa limit	Reduce the magnitude so the unscaled canonical mantissa fits the signed 512-bit domain.
E_QUANTITY_REMAINDER	Semantic	quantity does not define a remainder operation	Use exact division, quantity.div_round, or quantity.ratio_round with an explicit scale and rounding mode.
E_QUANTITY_UNDERFLOW	Semantic	quantity subtraction would produce a negative result	Change the operands, or convert to decimal explicitly when a negative result is part of the domain.
E_QUANTITY_NEGATION	Semantic	the nominal `quantity` type cannot be negated	Use `int` or `decimal` for signed values.
E_DIVISION_BY_ZERO	Semantic	a numeric divisor is zero	Use a nonzero divisor or validate it before the operation.
E_REPEATING_DECIMAL	Semantic	exact decimal division has a nonterminating result	Use `div_round` with an explicit output scale and rounding mode when approximation is intentional.
E_EXACT_DIVISION_SCALE_OVERFLOW	Semantic	an exact terminating quotient needs more than 28 fractional digits	Use `div_round` with an explicit representable scale, or change the operands.
E_INEXACT_CONVERSION	Semantic	an exact numeric conversion would discard a fractional part	Use an explicitly truncating or rounded conversion when loss of precision is intentional.
E_IMPLICIT_NUMERIC_CONVERSION	Semantic	runtime int and decimal values were mixed without a named conversion	Convert the int with decimal::from_int(value) before decimal arithmetic or comparison. Exact numeric literals may still infer their type contextually at compile time.
E_NUMERIC_ROUND_ARITY	Semantic	an explicitly rounded numeric operation has the wrong number of arguments	Pass every declared argument with its canonical name; rounded division requires divisor, scale, and mode.
E_NUMERIC_ROUND_RECEIVER	Semantic	an explicitly rounded numeric method was called on an unsupported receiver	Use decimal.div_round, quantity.div_round, or quantity.ratio_round with the operand types declared by the V1 numeric matrix.
E_INVALID_SCALE	Semantic	an exact numeric operation received a scale outside zero through 28	Choose an int scale from 0 through 28.
E_NUMERIC_ROUNDING_MODE	Semantic	an explicitly rounded numeric operation received an unknown rounding mode	Use one of the seven V1 modes: toward_zero, away_from_zero, floor, ceil, nearest_even, nearest_away, or nearest_toward_zero.
E_LEGACY_SUM_CONSTRUCTOR	Parse	source uses a retired placeholder-based Option or Result constructor	Use Option::some(value), contextual Option::none, Result::ok(value), or Result::err(value).
E_SUM_CONSTRUCTOR_FORM	Parse	an active-only sum constructor has invalid source form	Write Option::none without parentheses and give active constructors exactly one positional payload.
E_SUM_CONSTRUCTOR_ARITY	Parse	an active-only sum constructor has the wrong payload count	Supply exactly one active payload to Option::some, Result::ok, or Result::err.
E_SUM_MISSING_CONTEXT	Semantic	an inactive or partially inferred sum value lacks an exact type context	Add an Option<T> or Result<T, E> annotation so every generic payload type is known.
E_SUM_CONTEXT_TYPE	Semantic	a sum constructor conflicts with its contextual type	Use the matching Option or Result constructor and an exactly assignable active payload.
E_PROPAGATE_CONTEXT	Semantic	postfix propagation is used outside a matching sum-returning function	Return the same Option or Result family from the enclosing function, or handle the value explicitly.
E_PROPAGATE_ERROR_TYPE	Semantic	Result propagation would require implicit error conversion	Use the exact enclosing Result error type or convert the error explicitly before propagation.
E_PROPAGATE_TYPE	Semantic	postfix propagation was applied to a non-sum value	Apply ? only to Option<T> or Result<T, E>.
E_IF_EXPRESSION_ELSE	Semantic	an expression-valued if omits its else branch	Add an else block whose tail has exactly the same type as the then block tail.
E_IF_LET_EXPRESSION_ELSE	Semantic	an expression-valued if let omits its else branch	Add an else block, or use if let as a statement when no value is needed.
E_BRANCH_TYPE_MISMATCH	Semantic	expression branches have different types	Make every if or match branch tail produce exactly the same type.
E_DIVERGING_EXPRESSION_CONTEXT	Semantic	an expression whose branches all diverge lacks an exact result type	Provide an exact contextual type, or use the construct as a statement when every branch returns from the enclosing function.
E_PATTERN_FAMILY	Semantic	a namespaced pattern belongs to the wrong sum family	Match Option values with Option::some/none and Result values with Result::ok/err.
E_PATTERN_PAYLOAD	Semantic	a sum pattern binds a payload on an inactive variant or omits an active payload binding	Bind or explicitly ignore active payloads; write Option::none without a payload.
E_PATTERN_TYPE	Semantic	a sum pattern was applied to a non-Option/non-Result value	Use namespaced sum patterns only with Option<T> or Result<T, E>.
E_MATCH_EMPTY	Semantic	a match expression has no arms	Add the complete namespaced pattern set for the matched Option or Result.
E_MATCH_DUPLICATE_PATTERN	Semantic	a match expression repeats a variant pattern	Keep exactly one arm for each variant in the matched sum family.
E_MATCH_NON_EXHAUSTIVE	Semantic	a sum match omits an active or inactive variant	Cover both Option variants or both Result variants explicitly.
E_MATCH_TYPE_CONTEXT	Semantic	match arm types cannot be inferred consistently	Add a result type context or make every arm tail have exactly the same type.
E_QUERY_KEY_TYPE	Semantic	a typed core query received bytes or the wrong identifier type	Pass the exact AccountId, AssetId, AssetDefinitionId, DomainId, or NftId required by the query.
E_QUERY_PAGE_ARGUMENTS	Semantic	a typed query page has invalid offset or limit arguments	Pass named offset: int and limit: int arguments.
E_QUERY_RESULT_TYPE	Semantic	a typed core-query projection was assigned to an incompatible result type	Receive singular queries as Option<View> and plural queries as QueryPage<View>; raw byte compatibility is not part of the five V1 core-query families.
E_QUERY_OFFSET	Semantic	a typed query page window is outside the non-negative signed 64-bit range	Use an offset in 0..=i64::MAX and ensure offset plus limit fits i64.
E_QUERY_LIMIT	Semantic	a typed query page limit is outside 1 through 64	Choose a page limit from 1 through 64.
E_CONTRACT_ENTRYPOINT_LITERAL	Semantic	a typed contract invocation has a dynamic or invalid entrypoint selector	Pass a string literal containing one canonical Kotodama identifier as the named entrypoint argument.
E_CONTRACT_RETURN_SCHEMA	Semantic	a typed contract invocation has a dynamic or unsupported return schema	Use the exact literal returns: "quantity" for the V1 quantity invocation profile.
E_LIST_TYPE_ARITY	Semantic	List has an invalid number of type arguments	Declare List<T, N> with one element type and one capacity constant.
E_LIST_CAPACITY_CONST	Semantic	a List capacity is not a compile-time integer	Use an integer capacity constant from 1 through 64.
E_LIST_CAPACITY	Semantic	a List capacity is outside 1 through 64	Choose a compile-time capacity from 1 through 64.
E_LIST_RESOURCE_ELEMENT	Semantic	a List element contains a resource handle	Keep StateMap, Secret, and other resource handles outside List elements.
E_LIST_ZERO_SIZED_ELEMENT	Semantic	a List element schema encodes to zero runtime words	Add at least one runtime-valued field; every List element must encode at least one word.
E_LIST_EMPTY_CONTEXT	Semantic	an empty list literal has no element or capacity context	Add a List<T, N> annotation to the binding, argument, or return position.
E_LIST_LITERAL_CAPACITY	Semantic	a list literal exceeds its contextual capacity	Increase the declared capacity up to 64 or reduce the literal element count.
E_LIST_CONTEXT_TYPE	Semantic	a list expression conflicts with its contextual type	Use a matching List<T, N> context and exactly assignable element values.
E_LIST_COMPREHENSION_SOURCE	Semantic	a list comprehension source is not a bounded List	Iterate a List<T, N> so the compiler can prove the maximum result size.
E_LIST_COMPREHENSION_FILTER	Semantic	a list comprehension filter is not boolean	Use a bool expression after if; filters do not reduce the proven capacity.
E_LIST_COMPREHENSION_CAPACITY	Semantic	a list comprehension may exceed its contextual or V1 capacity	Reduce the source capacity or use a context large enough for the full proven maximum, up to 64.
E_LIST_UNSAFE_INDEX	Semantic	source attempted an unchecked List index operation	Use get(index) for reads and try_set(index, value) for writes.
E_LIST_INDEX_TYPE	Semantic	a List index has the wrong type	Use an int index with get or try_set.
E_LIST_METHOD_ARITY	Semantic	a bounded List method has the wrong argument count	Use the declared method signature and account for the implicit receiver.
E_LIST_CONTAINS_COMPARABILITY	Semantic	List.contains requires canonically comparable elements	Use an element type with deterministic structural equality; resource handles and other non-comparable values cannot be searched with contains.
E_LIST_MUTABLE_RECEIVER	Semantic	a mutating List method was called on a non-mutable receiver	Bind the List with var before calling try_set, try_push, or pop.
E_LIST_TAKE_CONST	Semantic	List.take received a dynamic limit	Pass a compile-time integer limit so the result capacity remains proven.
E_LIST_TAKE_LIMIT	Semantic	List.take received a limit outside its source capacity	Use a constant limit from 0 through the source List capacity.
E_JSON_CAPACITY	Semantic	a native JSON object or array exceeds the per-node V1 bound	Use at most 64 object entries or array elements at each JSON node; split larger data into bounded nested nodes.
E_JSON_DUPLICATE_KEY	Semantic	a native JSON object repeats a decoded key	Keep each decoded key exactly once; identifier and quoted spellings of the same key still collide.
E_JSON_LITERAL_REQUIRED	Semantic	Json::parse requires a direct string literal	Use a direct JSON string literal so it is validated at compile time, or construct dynamic typed values with native `json { ... }` and `json [ ... ]` syntax.
E_JSON_LITERAL_INVALID	Semantic	a Json::parse string literal is not valid JSON	Provide one valid JSON value and keep every decoded object key unique.
E_JSON_SCHEMA_LIMIT	Semantic	a native JSON construction exceeds a recursive V1 ABI bound	Reduce recursive object, array, Option, or List structure so the canonical construction schema fits its node, word, depth, and encoded-byte limits.
E_JSON_VALUE_TYPE	Semantic	a value cannot be converted by native JSON construction	Handle Result and arbitrary structs explicitly, and keep StateMap, Secret, and other resource handles outside JSON.
E_LEGACY_JSON_GETTER	Parse	source uses a retired name for the quantity JSON getter	Use value.get_quantity(key) or json::get_quantity(value, key); every typed JSON getter returns Option<T>.
E_MIXED_CALL_ARGUMENTS	Parse	a call mixes positional and named arguments	Use the contextual named-argument fix when offered. If the callee is unresolved, add the declared parameter names manually; the compiler does not guess a parameter mapping. Method receivers are implicit.
E_DUPLICATE_NAMED_ARGUMENT	Parse	a named call argument is repeated	Supply each declared parameter exactly once.
E_UNKNOWN_NAMED_ARGUMENT	Semantic	a named argument does not match a declared parameter	Use one of the callee's declared parameter names.
E_MISSING_NAMED_ARGUMENT	Semantic	a named call omits a required parameter	Supply every required parameter by its declared name.
E_NAMED_ARGUMENT_HOLE	Semantic	a named call supplies a later optional parameter after omitting an earlier optional ABI slot	Supply the earlier optional parameter too, or omit the complete trailing optional suffix.
E_NAMED_ARGUMENTS_REQUIRED	Semantic	a safety-sensitive call uses positional arguments	Name every source argument to make pagination, effects, or repeated parameter types unambiguous.
E_POSITIONAL_STRUCT	Semantic	a struct uses retired positional construction	Use `Type { field: value, shorthand_field }`; apply the diagnostic fix when one is available.
E_DUPLICATE_STRUCT_FIELD	Parse	a struct literal field is repeated	Supply each declared struct field exactly once.
E_UNKNOWN_STRUCT_FIELD	Semantic	a struct literal names an undeclared field	Use only fields declared by the struct type.
E_MISSING_STRUCT_FIELD	Semantic	a struct literal omits a declared field	Supply every declared field; field order in source is unrestricted.
E_UNKNOWN_STRUCT	Semantic	a struct literal refers to an unknown type	Declare the struct in this source unit or import its typed module declaration.
E_INTERNAL_BUILTIN	Semantic	source attempted to call a compiler-internal raw capability	Use the typed namespaced source API; allocation, pointers, raw syscalls, and opaque instructions are unavailable.
E_INTERNAL_RESOLUTION	Resolve	typed analysis received inconsistent or incomplete resolved-HIR metadata	Report this compiler defect with the source; resolution must assign stable identities and targets before typed analysis.
E_TEST_ONLY_PRODUCTION	Semantic	local test syntax or capabilities reached a production compilation	Run the source through `koto test` or explicit CompilerMode::Test; keep deployable production sources free of #[test], fixture, koto_test, and test-only builtin calls.
E_BREAK_OUTSIDE_LOOP	Semantic	break appeared outside an accepted bounded loop	Move break into the body of a compiler-proven bounded for loop.
E_CONTINUE_OUTSIDE_LOOP	Semantic	continue appeared outside an accepted bounded loop	Move continue into the body of a compiler-proven bounded for loop.
E_STATE_MAP_ALIAS	Semantic	a StateMap was treated as an in-memory first-class value	Access the declared StateMap directly through get, set, remove, or bounded iteration.
E_STATE_MAP_OPTIONAL_READ	Semantic	a StateMap read discarded the possibility that its key is absent	Use map.get(key), handle the returned Option<V>, and use map[key] = value only for writes.
E_STATE_SHADOWED	Semantic	a local declaration shadowed durable state	Rename the local declaration; V1 rejects all shadowing.
E_STATE_HAJIMARI_REQUIRED	Semantic	scalar durable state was declared without a hajimari/始まり hook	Declare hajimari/始まり and initialize every scalar state value before any normal return or fallthrough.
E_STATE_HAJIMARI_INCOMPLETE	Semantic	scalar durable state is not initialized on every normal `hajimari`/`始まり` path	Assign every reported scalar state on all branches and before every early return; loop-only and short-circuited writes are not definite.
E_DUPLICATE_DECLARATION	Resolve	a source-unit declaration name was repeated	Rename or remove the repeated declaration; V1 has one unambiguous namespace per source unit.
E_RESERVED_DECLARATION	Resolve	a declaration collided with a reserved language or builtin name	Choose an ASCII identifier that is not a V1 keyword, type, namespace, or builtin.
E_IMMUTABLE_ASSIGNMENT	Semantic	an immutable binding was assigned after declaration	Declare a mutable local with `var`, or compute the final immutable value before binding it.
E_ITERATION_LIMIT	Semantic	a bounded collection operation exceeded the 64-item V1 limit	Reduce the collection or split the operation into deterministic calls of at most 64 items.
E_ITER_MUTATION	Semantic	iteration attempted to mutate the collection being traversed	Collect the intended changes first, then apply them after canonical iteration completes.
E_MAP_BOUNDS	Semantic	a StateMap operation lacked a compiler-proven deterministic bound	Use direct keyed access or canonical StateMap iteration with the fixed 64-item cap.
E_SECRET_REQUIRES_ZK	Semantic	Secret<T> was used outside a ZK seiyaku build	Compile through a ZK-enabled project policy and keep the value inside approved proof or commitment operations.
E_SECRET_CONTROL_FLOW	Semantic	a secret value influenced public control flow	Remove the secret-dependent branch or loop.
E_SECRET_PUBLIC_RETURN	Semantic	a secret value flowed into a public return	Return only an approved proof, commitment, or public value independent of the secret.
E_SECRET_STATE_KEY	Semantic	a secret value flowed into a durable-state key	Use a public canonical key independent of all private inputs.
E_SECRET_STATE_WRITE	Semantic	a secret value flowed directly into durable state	Persist only an approved commitment or proof output.
E_SECRET_LOG	Semantic	a secret value flowed into a log	Remove the log or log only a public value independent of the secret.
E_SECRET_ARITHMETIC	Semantic	secret data was used by an ordinary arithmetic operation	Use only an approved proof or commitment operation whose secret-flow contract is explicit.
E_SECRET_HOST_SINK	Semantic	secret data reached a public host operation	Pass only approved public proof or commitment outputs to ledger, context, state, and debug APIs.
E_SECRET_MIXED_COMMITMENT	Semantic	a commitment mixed secret data with an unapproved public value	Use the exact approved commitment signature and explicitly public domain-separation inputs.
E_SECRET_NULLIFIER_DISCLOSURE	Semantic	secret nullifier material would be disclosed to a public sink	Publish only the approved derived nullifier output, never its secret input material.
E_SECRET_PAYLOAD_TYPE	Semantic	a private input used a type outside the approved Secret<T> payload set	Choose a supported fixed-layout secret payload type accepted by the ZK proof interface.
E_SECRET_PRIVATE_INPUT_INDEX	Semantic	a private-input index depended on secret or unbounded data	Use a public compile-time-bounded private-input index.
E_SECRET_PUBLIC_PARAMETER	Semantic	a kotoage/view/hajimari/kaizen parameter was declared as Secret<T>	Read private inputs through the ZK-only private-input API; public ABI records cannot contain secrets.
E_SECRET_STATE_SINK	Semantic	secret-tainted data reached durable state	Persist only an approved public commitment or proof result independent of raw secret material.
E_SECRET_STATE_TYPE	Semantic	durable state was declared with a secret-bearing type	Keep Secret<T> ephemeral and store only approved public commitments or proof outputs.
E_SECRET_UNAPPROVED_OPERATION	Semantic	secret data reached an operation without an approved flow specification	Use an operation explicitly listed by the V1 secret-flow policy.
E_SECRET_UNKNOWN_CALL	Semantic	secret data was passed through a call whose flow behavior is unknown	Pass secrets only to compiler-known proof and commitment functions with declared flow behavior.
E_CONST_CAPACITY_CONTEXT	Semantic	a compile-time integer appeared outside a bounded List capacity	Use the compile-time integer only as the second argument of List<T, N>.
E_CONST_INITIALIZER	Semantic	a const initializer depended on runtime evaluation	Initialize the const from literals and previously declared constants only.
E_FOR_INITIALIZER	Semantic	a bounded for-loop initializer lowered to more than one operation	Use one simple let binding or expression as the for-loop initializer.
E_FOR_STEP	Semantic	a bounded for-loop step lowered to more than one operation	Use one simple let binding or expression as the for-loop step.
E_INTERNAL_NUMERIC_MATRIX	Semantic	typed numeric operands violated the compiler's canonical operator matrix	Report this compiler defect with a minimal source reproducer; no artifact is emitted from inconsistent typed HIR.
E_INTRINSIC_CONTEXT	Semantic	a compiler intrinsic was used outside its declared operation context	Use the public namespaced operation that owns the intrinsic instead of referring to the compiler-owned value.
E_INVALID_ASSIGNMENT_TARGET	Semantic	an assignment targeted a non-assignable expression	Assign only to a mutable var binding or through the typed StateMap mutation API.
E_LIFECYCLE_AUTHORIZATION	Semantic	a hajimari or kaizen declaration attempted to set caller authorization	Remove authorize from hajimari and kaizen; lifecycle authorization is defined by the runtime.
E_MALFORMED_CALL	Semantic	resolved call metadata was internally inconsistent	Report this compiler defect with a minimal source reproducer; malformed resolved calls never produce artifacts.
E_MISSING_RETURN	Semantic	a value-returning function does not return on every path	Return the declared type on every reachable path or use one final block-tail expression.
E_NON_CANONICAL_BUILTIN	Semantic	source used a retired, flat, or compiler-internal builtin spelling	Use the canonical V1 namespaced builtin shown by the diagnostic.
E_NON_CANONICAL_NUMERIC	Semantic	a numeric value was not in canonical int, decimal, or quantity form	Construct the value with the exact canonical numeric type and representation.
E_QUERY_PAGE_VIEW	Semantic	QueryPage was instantiated with a view outside the declared core query set	Use QueryPage only with a canonical core query view supported by ABI V1.
E_RETIRED_VRF_VERIFY_ARGS	Semantic	source used the retired multi-argument VRF verification form	Encode one VrfVerifyRequest as bytes and pass it through the named request argument.
E_RETURN_TYPE_MISMATCH	Semantic	a returned value does not exactly match the declared return type	Return the exact declared type; use an explicit conversion where the V1 API provides one.
E_STATE_MAP_KEY_TYPE	Semantic	a StateMap key lacks a canonical deterministic Norito representation	Choose a supported scalar canonical-Norito key type.
E_TAIL_TYPE_MISMATCH	Semantic	a block-tail expression does not exactly match its required type	Make the final expression the exact required type or terminate it with a semicolon when the block returns unit.
E_TUPLE_INDEX	Semantic	a tuple member index is outside the tuple's declared fields	Use a zero-based tuple index smaller than the tuple length.
