kotodama-compile-fail-cases-v1	59
name	source	phase	code	message	line
dynamic-range-loop	seiyaku DynamicRangeLoop {\nfn run(int limit) { for index in range(limit) {} }\n}	Parse	E_UNBOUNDED_LOOP	numeric range bounds must be non-negative integer literals	2
recursion	seiyaku Recursion {\nfn recurse() { recurse(); }\n}	Semantic	K2006	recursive function calls are not supported	2
non-ascii-identifier	seiyaku Café {\nfn run() {}\n}	Lex	K0100	non-ASCII identifier outside the branded Japanese keyword set	1
english-declaration-keyword	contract Alias {\nfn run() {}\n}	Parse	K1001	exactly one `seiyaku Name	1
numeric-prefix-identifier	seiyaku 1Invalid {\nfn run() {}\n}	Lex	E_RETIRED_NUMERIC_SUFFIX	numeric literal suffixes are not part of Kotodama V1	1
legacy-macro	seiyaku LegacyMacro {\nfn run() { let id = account!("alice"); }\n}	Parse	K1001	macros are not part of Kotodama V1	2
raw-allocation	seiyaku RawAllocation {\nfn run() { let pointer = alloc(16); }\n}	Resolve	K2002	unknown function or builtin `alloc`	2
raw-norito-constructor	seiyaku RawNorito {\nfn run() { let payload = norito_bytes(b"opaque"); }\n}	Resolve	K2002	unknown function or builtin `norito_bytes`	2
raw-blob-constructor	seiyaku RawBlob {\nfn run() { let payload = blob("opaque"); }\n}	Resolve	K2002	unknown function or builtin `blob`	2
opaque-instruction-submission	seiyaku OpaqueInstruction {\nkotoage fn run(bytes payload) authorize("Run") { execute_instruction(payload); }\n}	Resolve	K2002	unknown function or builtin `execute_instruction`	2
cyclic-value-type	seiyaku CyclicValueType {\nstruct Node { Node next; }\n}	Semantic	K2006	cyclic value struct definition: Node -> Node	2
retired-positional-struct	seiyaku PositionalStruct {\nstruct Pair { int left, int right }\nfn run() { let pair = Pair(1, 2); }\n}	Semantic	E_POSITIONAL_STRUCT	positional construction `Pair(...)` is retired	3
mixed-call-style	seiyaku MixedCall {\nfn target(int first, int second) {}\nfn run() { target(1, second: 2); }\n}	Parse	E_MIXED_CALL_ARGUMENTS	calls must use either all positional or all named source arguments	3
unsafe-list-read	seiyaku UnsafeListRead {\nfn read(List<int, 2> values) -> Option<int> { return values[0]; }\n}	Semantic	E_LIST_UNSAFE_INDEX	unchecked List indexing is not part of Kotodama V1	2
unsafe-list-write	seiyaku UnsafeListWrite {\nfn write() { var List<int, 2> values = [1]; values[0] = 2; }\n}	Semantic	E_LIST_UNSAFE_INDEX	unchecked List writes are not part of Kotodama V1	2
legacy-option-placeholder	seiyaku LegacyOption {\nfn read() -> Option<int> { option::none(0) }\n}	Parse	E_LEGACY_SUM_CONSTRUCTOR	`option::none` is retired	2
named-only-repeated-types	seiyaku NamedOnly {\nfn target(int left, int right) {} fn run() { target(1, 2); }\n}	Semantic	E_NAMED_ARGUMENTS_REQUIRED	requires named arguments because repeated parameter types	2
contextless-option-none	seiyaku ContextlessNone {\nfn run() { let value = Option::none; }\n}	Semantic	E_SUM_MISSING_CONTEXT	`Option::none` requires an exact `Option<T>` context	2
option-propagation-context	seiyaku PropagationContext {\nfn read(Option<int> value) -> int { value? }\n}	Semantic	E_PROPAGATE_CONTEXT	postfix `?` on Option requires an Option-returning function	2
non-exhaustive-option-match	seiyaku NonExhaustive {\nfn read(Option<int> value) -> int { match value { Option::some(item) => { item }, } }\n}	Semantic	E_MATCH_NON_EXHAUSTIVE	match must cover both namespaced variants	2
non-exhaustive-result-match	seiyaku NonExhaustiveResult {\nfn read(Result<int, bool> value) -> int { match value { Result::ok(item) => { item }, } }\n}	Semantic	E_MATCH_NON_EXHAUSTIVE	match must cover both namespaced variants	2
list-comprehension-capacity	seiyaku ComprehensionCapacity {\nfn copy() { let List<int, 8> source = [1]; let List<int, 4> result = [item for item in source if false]; }\n}	Semantic	E_LIST_COMPREHENSION_CAPACITY	filters do not reduce the proven maximum	2
duplicate-native-json-key	seiyaku DuplicateJsonKey {\nfn build() -> Json { json { owner: 1, "owner": 2 } }\n}	Semantic	E_JSON_DUPLICATE_KEY	native JSON object key `owner` is supplied more than once	2
dynamic-json-parse	seiyaku DynamicJsonParse {\nfn decode(string raw) -> Json { Json::parse(raw) }\n}	Semantic	E_JSON_LITERAL_REQUIRED	Json::parse requires a direct string literal so native JSON is validated at compile time	2
malformed-decimal	seiyaku MalformedDecimal {\nfn value() -> decimal { 1. }\n}	Lex	E_DECIMAL_MALFORMED	decimal literals require at least one digit after `.`	2
quantity-constant-underflow	seiyaku QuantityUnderflow {\nfn value() -> quantity { 1 - 2 }\n}	Semantic	E_QUANTITY_UNDERFLOW	Quantity subtraction would produce a negative result	2
implicit-int-to-quantity	seiyaku QuantityConversion {\nfn value() { let int count = 10; let quantity result = count; }\n}	Semantic	E_TYPE_ANNOTATION_MISMATCH	type annotation mismatch: expected quantity, got int	2
retired-amount-type	seiyaku RejectedAmountType {\nfn value(Amount input) { }\n}	Parse	E_RETIRED_NUMERIC_TYPE	numeric type `Amount` is not part of Kotodama V1; use `quantity`	2
forbidden-amount-identifier	seiyaku RejectedAmountIdentifier {\nfn value(int Amount) { }\n}	Parse	E_FORBIDDEN_SOURCE_IDENTIFIER	source identifier `Amount` is not part of Kotodama V1; choose a different identifier (lowercase `amount` remains available)	2
retired-i64-type	seiyaku RetiredIntType {\nfn value(i64 input) { }\n}	Parse	E_RETIRED_NUMERIC_TYPE	numeric type `i64` is not part of Kotodama V1; use `int`	2
retired-amount-suffix	seiyaku RejectedAmountSuffix {\nfn value() -> quantity { 1.25amt }\n}	Lex	E_RETIRED_NUMERIC_SUFFIX	numeric literal suffixes are not part of Kotodama V1	2
retired-quantity-suffix	seiyaku RejectedQuantitySuffix {\nfn value() -> quantity { 1.25qty }\n}	Lex	E_RETIRED_NUMERIC_SUFFIX	numeric literal suffixes are not part of Kotodama V1	2
retired-u128-suffix	seiyaku RetiredIntSuffix {\nfn value() -> int { 10u128 }\n}	Lex	E_RETIRED_NUMERIC_SUFFIX	numeric literal suffixes are not part of Kotodama V1	2
retired-scalar-json-setter	seiyaku RetiredJsonSetter {\nfn value() -> Json { json::set_i64(json::object(), Name::parse("n"), 1) }\n}	Parse	E_RETIRED_NUMERIC_HELPER	scalar JSON setters are not part of Kotodama V1	2
retired-quantity-json-getter	seiyaku RetiredQuantityGetter {\nfn value(Json object, Name key) { object.get_amount(key); }\n}	Parse	E_LEGACY_JSON_GETTER	legacy numeric JSON getters were retired; use `.get_quantity(key)`	2
typed-query-key-mismatch	seiyaku QueryKeyMismatch {\nview fn account(bytes raw) { let found = ledger::query::account(raw); }\n}	Semantic	E_QUERY_KEY_TYPE	byte-returning core-query compatibility is not part of Kotodama V1	2
typed-query-result-mismatch	seiyaku QueryResultMismatch {\nview fn account(AccountId id) { let bytes encoded = ledger::query::account(id); }\n}	Semantic	E_QUERY_RESULT_TYPE	byte-returning compatibility is not part of Kotodama V1	2
argument-register-window	seiyaku ArgumentRegisterWindow {\nview fn run((int, int, int, int, int, int, int, int, int, int, int, int, int, int) value) -> int { return value.0; }\n}	Semantic	K2007	requiring 14 flattened argument words; V1 permits at most 13	2
